Toronto Municipality,HPI - Single-Family Detached,HPI - Single-Family Attached,HPI - Townhouse,HPI - Apartment,Effective Date
Toronto C07,1439600,823400,577100,457200,2017-02-01
Toronto C08,1511700,1239800,641200,469100,2017-02-01
Toronto C09,1695800,1182400,914700,537800,2017-02-01
Toronto C10,1544700,1203400,593500,543100,2017-02-01
Toronto C11,1376000,997200,237300,336700,2017-02-01
Toronto C12,2260300,1195500,984500,667800,2017-02-01
Toronto C13,1511400,816900,727700,371100,2017-02-01
Toronto C14,1743600,1299200,860000,513700,2017-02-01
Toronto C15,1533000,904800,612400,390700,2017-02-01
Toronto E01,1039100,955800,473600,547200,2017-02-01
Toronto E02,1003700,893400,899600,686500,2017-02-01
Toronto E03,891100,779100,,266400,2017-02-01
Toronto E04,757700,603400,443700,321100,2017-02-01
Toronto E05,991000,737600,511500,357600,2017-02-01
Toronto E06,728300,608700,529700,440600,2017-02-01
Toronto E07,909900,679300,502800,341500,2017-02-01
Toronto E08,766500,569500,432500,328500,2017-02-01
Toronto E09,713800,577700,425000,350700,2017-02-01
Toronto E10,761600,583200,446700,310900,2017-02-01
Toronto E11,679000,526600,355100,295100,2017-02-01
City of Toronto,1088200,844100,604600,485200,2017-10-01
Toronto W01,1147500,926200,493400,505100,2017-10-01
Toronto W02,1034700,853900,563900,521900,2017-10-01
Toronto W03,731800,674700,475500,420400,2017-10-01
Toronto W04,767500,656100,509700,345100,2017-10-01
Toronto W05,765800,617900,391000,274500,2017-10-01
Toronto W06,820600,641800,819400,406700,2017-10-01
Toronto W07,1008100,853700,,573800,2017-10-01
Toronto W08,1065300,751700,536800,416700,2017-10-01
Toronto W09,820400,557600,640600,291500,2017-10-01
Toronto W10,685500,596300,444200,309600,2017-10-01
Toronto C01,1023300,915000,719600,542700,2017-10-01
Toronto C02,1752100,1337900,1103400,681200,2017-10-01
Toronto C03,1577000,1009400,,807300,2017-10-01
Toronto C04,1762800,1213500,1085200,506700,2017-10-01
Toronto C06,1132700,753200,630500,575000,2017-10-01
Toronto C07,1373300,770100,656400,550400,2017-10-01
Toronto C08,1500000,1219300,636400,513000,2017-10-01
Toronto C09,1626700,1166900,1358300,604300,2017-10-01
Toronto C10,1579300,1212300,697900,617100,2017-10-01
Toronto C11,1339900,971000,379900,399900,2017-10-01
Toronto C12,2152100,1088300,876600,791000,2017-10-01
Toronto C13,1318300,704200,702800,447400,2017-10-01
Toronto C14,1631100,1174500,794700,596300,2017-10-01
Toronto C15,1462600,853400,668300,481300,2017-10-01
Toronto E01,1058900,974400,647900,641200,2017-10-01
Toronto E02,1027900,913900,859000,681600,2017-10-01
Toronto E03,865400,776100,,315100,2017-10-01
Toronto E04,706400,599100,526100,394300,2017-10-01
Toronto E05,910400,691100,552600,458000,2017-10-01
Toronto E06,733700,630100,619000,487700,2017-10-01
Toronto E07,888300,685400,570800,428300,2017-10-01
Toronto E08,766800,589400,517000,413200,2017-10-01
Toronto E09,691100,562600,519800,434400,2017-10-01
Toronto E10,782800,614300,547700,392200,2017-10-01
Toronto E11,724000,571900,386800,430100,2017-10-01
City of Toronto,1088200,850400,599100,486200,2017-11-01
Toronto W01,1164100,937000,493100,500600,2017-11-01
Toronto W02,1049500,882100,552300,523000,2017-11-01
Toronto W03,740000,675900,469000,417300,2017-11-01
Toronto W04,770400,656100,503300,353300,2017-11-01
Toronto W05,776700,625200,400000,278000,2017-11-01
Toronto W06,829500,646400,778000,404100,2017-11-01
Toronto W07,1016800,854900,,560000,2017-11-01
Toronto W08,1066300,752000,508000,411000,2017-11-01
Toronto W09,818600,561600,641100,284700,2017-11-01
Toronto W10,685500,593200,439800,315000,2017-11-01
Toronto C01,1074000,956700,710500,547100,2017-11-01
Toronto C02,1776100,1348400,1130200,698000,2017-11-01
Toronto C03,1613200,1039800,,804100,2017-11-01
Toronto C04,1727600,1167100,1077100,515500,2017-11-01
Toronto C06,1122500,781300,611200,578500,2017-11-01
Toronto C07,1338500,751400,634700,548200,2017-11-01
Toronto C08,1493600,1216000,634600,511900,2017-11-01
Toronto C09,1638000,1168500,1370900,603300,2017-11-01
Toronto C10,1589200,1219700,694700,612300,2017-11-01
Toronto C11,1337900,984300,363100,397800,2017-11-01
Toronto C12,2113500,1074900,847000,791000,2017-11-01
Toronto C13,1331600,713800,687800,439800,2017-11-01
Toronto C14,1597000,1124300,822400,597800,2017-11-01
Toronto C15,1480000,850500,677600,485100,2017-11-01
Toronto E01,1053300,967200,632300,644900,2017-11-01
Toronto E02,1051100,934000,875200,690600,2017-11-01
Toronto E03,857000,776100,,319800,2017-11-01
Toronto E04,709100,604100,506800,398900,2017-11-01
Toronto E05,907900,687500,546700,450600,2017-11-01
Toronto E06,734300,628900,629400,501200,2017-11-01
Toronto E07,879100,676200,557800,423200,2017-11-01
Toronto E08,768700,583700,496400,417800,2017-11-01
Toronto E09,693400,567700,501600,434000,2017-11-01
Toronto E10,791400,618700,542300,399500,2017-11-01
Toronto E11,715700,566900,382900,428300,2017-11-01
City of Toronto,1205400,919400,631400,485200,2017-06-01
Toronto W01,1181400,956300,503300,482500,2017-06-01
Toronto W02,1099000,911200,594600,505800,2017-06-01
Toronto W03,795400,720200,487100,408000,2017-06-01
Toronto W04,834300,696300,516100,332700,2017-06-01
Toronto W05,842400,676000,389500,275400,2017-06-01
Toronto W06,892700,672700,891900,400600,2017-06-01
Toronto W07,1098700,899200,,590000,2017-06-01
Toronto W08,1151000,789100,569300,424800,2017-06-01
Toronto W09,876000,588300,643200,283600,2017-06-01
Toronto W10,761100,648700,431700,329700,2017-06-01
Toronto C01,1086900,968300,773400,540900,2017-06-01
Toronto C02,1948700,1464300,1186500,683200,2017-06-01
Toronto C03,1767500,1105800,,814400,2017-06-01
Toronto C04,1846600,1221900,1096800,495900,2017-06-01
Toronto C06,1380900,867500,630500,586300,2017-06-01
Toronto C07,1608000,897100,657900,553100,2017-06-01
Toronto C08,1648200,1331900,660700,530700,2017-06-01
Toronto C09,1776200,1273500,1456400,631800,2017-06-01
Toronto C10,1732400,1331400,750400,604200,2017-06-01
Toronto C11,1459100,1062700,377300,396400,2017-06-01
Toronto C12,2474700,1252000,880200,789200,2017-06-01
Toronto C13,1662300,875600,702800,430900,2017-06-01
Toronto C14,1878800,1339100,874500,615000,2017-06-01
Toronto C15,1737300,1012400,708900,479900,2017-06-01
Toronto E01,1141200,1041900,679300,646100,2017-06-01
Toronto E02,1119900,997600,928300,714100,2017-06-01
Toronto E03,943300,823600,,325900,2017-06-01
Toronto E04,761200,651600,539600,415500,2017-06-01
Toronto E05,1002300,776800,589800,417800,2017-06-01
Toronto E06,803700,670800,605600,506600,2017-06-01
Toronto E07,991200,776600,606100,403300,2017-06-01
Toronto E08,840000,632500,525400,396800,2017-06-01
Toronto E09,748500,616900,527600,433500,2017-06-01
Toronto E10,874100,689700,561500,363300,2017-06-01
Toronto E11,789400,627400,395100,405400,2017-06-01
City of Toronto,1171900,877900,568200,441200,2017-03-01
Toronto W01,1140100,926200,453000,415000,2017-03-01
Toronto W02,1063700,893800,540400,708300,2017-03-01
Toronto W03,735300,681800,378100,357900,2017-03-01
Toronto W04,769700,662500,465700,299400,2017-03-01
Toronto W05,767800,621900,344800,242800,2017-03-01
Toronto W06,937400,706100,756900,367700,2017-03-01
Toronto W07,1151100,931200,626000,536100,2017-03-01
Toronto W08,1170400,818000,469000,372700,2017-03-01
Toronto W09,862900,568800,593800,242400,2017-03-01
Toronto W10,709200,602400,390800,275000,2017-03-01
Toronto C01,1009000,911200,677200,514600,2017-03-01
Toronto C02,1788600,1367800,1069400,645300,2017-03-01
Toronto C03,1623200,1045000,,735200,2017-03-01
Toronto C04,1801400,1217700,842100,453800,2017-03-01
Toronto C06,1249800,813800,,531900,2017-03-01
Toronto C07,1497300,853400,575000,490600,2017-03-01
Toronto C08,1562400,1269900,653500,496700,2017-03-01
Toronto C09,1844000,1280800,902800,573900,2017-03-01
Toronto C10,1596600,1227100,638100,562200,2017-03-01
Toronto C11,1483600,1081300,250100,353500,2017-03-01
Toronto C12,2395400,1236900,1020900,704800,2017-03-01
Toronto C13,1572700,850700,756100,384600,2017-03-01
Toronto C14,1857200,1353200,884300,560600,2017-03-01
Toronto C15,1629800,954200,643200,411600,2017-03-01
Toronto E01,1077500,991500,484500,575000,2017-03-01
Toronto E02,1052900,933600,1003800,708800,2017-03-01
Toronto E03,936600,846500,,277300,2017-03-01
Toronto E04,815200,652500,481000,341900,2017-03-01
Toronto E05,1061100,795000,533300,366500,2017-03-01
Toronto E06,778600,642500,530400,438500,2017-03-01
Toronto E07,959400,706800,533000,355500,2017-03-01
Toronto E08,815700,599000,461100,337600,2017-03-01
Toronto E09,768600,621500,467400,367600,2017-03-01
Toronto E10,811300,616600,493900,309100,2017-03-01
Toronto E11,709000,556000,353300,317100,2017-03-01
City of Toronto,1226300,919500,601800,464200,2017-04-01
Toronto W01,1137500,926200,459400,424500,2017-04-01
Toronto W02,1082600,916100,573400,742900,2017-04-01
Toronto W03,783500,724900,388600,374400,2017-04-01
Toronto W04,807800,684500,470200,311000,2017-04-01
Toronto W05,807200,652600,357800,251100,2017-04-01
Toronto W06,942200,694300,795300,379900,2017-04-01
Toronto W07,1162800,914400,695100,567300,2017-04-01
Toronto W08,1200200,808700,502700,392300,2017-04-01
Toronto W09,911000,590100,596400,270400,2017-04-01
Toronto W10,736800,627500,398400,304000,2017-04-01
Toronto C01,1044500,938000,718000,536100,2017-04-01
Toronto C02,1901100,1462700,1130900,648700,2017-04-01
Toronto C03,1734900,1119900,,769700,2017-04-01
Toronto C04,1856900,1272000,867500,482200,2017-04-01
Toronto C06,1333500,853800,,559800,2017-04-01
Toronto C07,1583700,892800,601500,523600,2017-04-01
Toronto C08,1652300,1349100,700500,522700,2017-04-01
Toronto C09,1879200,1331300,926000,587400,2017-04-01
Toronto C10,1694100,1301200,656900,579400,2017-04-01
Toronto C11,1532000,1114500,255800,371200,2017-04-01
Toronto C12,2536900,1292200,1059400,757500,2017-04-01
Toronto C13,1676700,895000,790400,405600,2017-04-01
Toronto C14,1963800,1386800,963700,600100,2017-04-01
Toronto C15,1769700,1027600,692000,441600,2017-04-01
Toronto E01,1138400,1040700,511600,600800,2017-04-01
Toronto E02,1100300,974800,1045100,748000,2017-04-01
Toronto E03,981400,877600,,292700,2017-04-01
Toronto E04,820200,675200,508700,375200,2017-04-01
Toronto E05,1100200,841200,567000,381800,2017-04-01
Toronto E06,813400,673200,573200,471800,2017-04-01
Toronto E07,995400,753100,581500,371500,2017-04-01
Toronto E08,863400,624700,487600,362100,2017-04-01
Toronto E09,804100,646500,494700,390500,2017-04-01
Toronto E10,873100,662300,529100,328300,2017-04-01
Toronto E11,771000,607700,382300,356500,2017-04-01
City of Toronto,1228500,928200,628100,477600,2017-05-01
Toronto W01,1135400,923500,482900,436600,2017-05-01
Toronto W02,1094000,922000,576400,756700,2017-05-01
Toronto W03,799500,729000,393200,382800,2017-05-01
Toronto W04,829600,691700,490800,319700,2017-05-01
Toronto W05,830800,669200,363300,264400,2017-05-01
Toronto W06,933600,699700,861000,390500,2017-05-01
Toronto W07,1145900,939800,724900,609100,2017-05-01
Toronto W08,1196500,819500,557000,414200,2017-05-01
Toronto W09,903600,597000,623400,269900,2017-05-01
Toronto W10,753900,645900,415900,329400,2017-05-01
Toronto C01,1060300,953000,739000,534600,2017-05-01
Toronto C02,1955700,1486800,1112700,665800,2017-05-01
Toronto C03,1774700,1135800,,794900,2017-05-01
Toronto C04,1859700,1240600,968000,492600,2017-05-01
Toronto C06,1384300,872300,,575300,2017-05-01
Toronto C07,1630400,914300,628000,537800,2017-05-01
Toronto C08,1610900,1318600,739300,532600,2017-05-01
Toronto C09,1830200,1295500,910000,604700,2017-05-01
Toronto C10,1728100,1322500,638900,598700,2017-05-01
Toronto C11,1495200,1080900,264800,386300,2017-05-01
Toronto C12,2496100,1280400,1077200,785700,2017-05-01
Toronto C13,1683600,884500,790600,429900,2017-05-01
Toronto C14,1978400,1406300,1080900,614700,2017-05-01
Toronto C15,1786600,1035800,732000,465300,2017-05-01
Toronto E01,1142300,1046000,538300,624300,2017-05-01
Toronto E02,1138600,1012300,1139100,813900,2017-05-01
Toronto E03,965600,853400,,304700,2017-05-01
Toronto E04,788400,666000,515600,417100,2017-05-01
Toronto E05,1046000,807100,587600,411200,2017-05-01
Toronto E06,808600,676000,619900,506600,2017-05-01
Toronto E07,999700,774500,595800,394200,2017-05-01
Toronto E08,858700,629600,502500,390700,2017-05-01
Toronto E09,780300,635900,517200,419800,2017-05-01
Toronto E10,902000,702200,562300,341700,2017-05-01
Toronto E11,801600,633700,389400,381100,2017-05-01
City of Toronto,1146100,879400,632600,481300,2017-07-01
Toronto W01,1142200,927700,499500,493800,2017-07-01
Toronto W02,1052500,868600,613300,521900,2017-07-01
Toronto W03,770100,706400,514000,417800,2017-07-01
Toronto W04,803400,674300,523200,345600,2017-07-01
Toronto W05,817200,657900,384400,284300,2017-07-01
Toronto W06,852800,665500,889800,403100,2017-07-01
Toronto W07,1049700,884900,,569700,2017-07-01
Toronto W08,1096100,775400,574300,418100,2017-07-01
Toronto W09,831600,565600,641600,279900,2017-07-01
Toronto W10,748500,640800,445500,336800,2017-07-01
Toronto C01,1031200,921000,766800,525300,2017-07-01
Toronto C02,1892000,1425500,1209300,695100,2017-07-01
Toronto C03,1681500,1063900,,838100,2017-07-01
Toronto C04,1774800,1182600,1200500,506300,2017-07-01
Toronto C06,1267700,846400,666900,572100,2017-07-01
Toronto C07,1534800,877000,693900,549900,2017-07-01
Toronto C08,1574100,1282800,660500,514000,2017-07-01
Toronto C09,1685800,1218200,1469000,638400,2017-07-01
Toronto C10,1624400,1255300,765600,598900,2017-07-01
Toronto C11,1387600,1025500,378900,395700,2017-07-01
Toronto C12,2348200,1205900,867000,809900,2017-07-01
Toronto C13,1551900,822300,708900,439000,2017-07-01
Toronto C14,1783100,1346900,888000,586300,2017-07-01
Toronto C15,1532100,900200,696700,496000,2017-07-01
Toronto E01,1078000,982300,685400,647600,2017-07-01
Toronto E02,1075700,950700,930100,681900,2017-07-01
Toronto E03,883000,797100,,318200,2017-07-01
Toronto E04,738500,621900,531100,408400,2017-07-01
Toronto E05,962100,736000,592800,440800,2017-07-01
Toronto E06,748900,624600,662500,482400,2017-07-01
Toronto E07,975800,769000,607200,411400,2017-07-01
Toronto E08,785500,588900,513300,406500,2017-07-01
Toronto E09,716100,587500,529600,445700,2017-07-01
Toronto E10,837200,665900,552600,377400,2017-07-01
Toronto E11,732100,576200,402500,435800,2017-07-01
City of Toronto,1100100,849700,624000,478000,2017-08-01
Toronto W01,1128100,914600,508200,485600,2017-08-01
Toronto W02,1027100,841300,587600,511000,2017-08-01
Toronto W03,737800,680000,487100,408700,2017-08-01
Toronto W04,775100,662800,521000,349900,2017-08-01
Toronto W05,791700,636800,386400,287200,2017-08-01
Toronto W06,815200,636100,910700,401100,2017-08-01
Toronto W07,1001600,845100,,555900,2017-08-01
Toronto W08,1058000,749100,583000,410200,2017-08-01
Toronto W09,804000,564200,655100,288400,2017-08-01
Toronto W10,716100,620600,452300,315900,2017-08-01
Toronto C01,1006200,904200,744400,525900,2017-08-01
Toronto C02,1791300,1363600,1154400,668900,2017-08-01
Toronto C03,1596600,1009700,,802000,2017-08-01
Toronto C04,1709900,1157800,1141700,517600,2017-08-01
Toronto C06,1235700,800500,649200,566600,2017-08-01
Toronto C07,1473900,835900,676700,549900,2017-08-01
Toronto C08,1482500,1204500,656500,508200,2017-08-01
Toronto C09,1658100,1165300,1475600,627800,2017-08-01
Toronto C10,1565700,1214800,736700,591700,2017-08-01
Toronto C11,1360300,999800,378500,395800,2017-08-01
Toronto C12,2219600,1127700,841000,797000,2017-08-01
Toronto C13,1455400,780200,682300,437400,2017-08-01
Toronto C14,1677100,1267500,834900,593600,2017-08-01
Toronto C15,1439100,836200,693800,487600,2017-08-01
Toronto E01,1048700,966500,667300,627400,2017-08-01
Toronto E02,1030600,923900,926800,672600,2017-08-01
Toronto E03,842500,747600,,312200,2017-08-01
Toronto E04,707900,602700,536500,400300,2017-08-01
Toronto E05,925200,701800,581500,432100,2017-08-01
Toronto E06,717700,617000,623400,477800,2017-08-01
Toronto E07,951500,757000,600100,417200,2017-08-01
Toronto E08,754600,574400,526400,417300,2017-08-01
Toronto E09,692200,568700,521600,431000,2017-08-01
Toronto E10,808700,634000,545200,389800,2017-08-01
Toronto E11,713700,565500,400400,426400,2017-08-01
City of Toronto,1093900,845400,608700,479800,2017-09-01
Toronto W01,1108300,887600,492500,491500,2017-09-01
Toronto W02,1027900,854500,570400,503200,2017-09-01
Toronto W03,724500,673600,472200,403000,2017-09-01
Toronto W04,758700,661300,503800,341100,2017-09-01
Toronto W05,780100,626600,389500,288400,2017-09-01
Toronto W06,816400,640300,862800,402600,2017-09-01
Toronto W07,996800,854900,,564500,2017-09-01
Toronto W08,1059000,751700,558700,410400,2017-09-01
Toronto W09,809600,569100,638200,288100,2017-09-01
Toronto W10,698400,607800,440600,315300,2017-09-01
Toronto C01,1008500,901700,724500,530300,2017-09-01
Toronto C02,1754500,1344200,1124000,689100,2017-09-01
Toronto C03,1556700,997100,,788600,2017-09-01
Toronto C04,1717700,1174600,1040600,508800,2017-09-01
Toronto C06,1204900,780900,618100,566400,2017-09-01
Toronto C07,1453800,824100,646300,549900,2017-09-01
Toronto C08,1483100,1201200,628600,511000,2017-09-01
Toronto C09,1653100,1158000,1431200,589100,2017-09-01
Toronto C10,1539800,1185100,710200,613200,2017-09-01
Toronto C11,1352200,972400,362200,406100,2017-09-01
Toronto C12,2169200,1123900,852600,797600,2017-09-01
Toronto C13,1401500,743100,685400,432300,2017-09-01
Toronto C14,1691700,1265600,822800,599400,2017-09-01
Toronto C15,1475300,860900,676600,482300,2017-09-01
Toronto E01,1051900,962700,631200,617400,2017-09-01
Toronto E02,1032000,915500,871000,651500,2017-09-01
Toronto E03,841800,744000,,304100,2017-09-01
Toronto E04,705200,599500,528700,383100,2017-09-01
Toronto E05,914600,699600,566700,447200,2017-09-01
Toronto E06,734900,643400,587800,462600,2017-09-01
Toronto E07,922700,725900,577100,419700,2017-09-01
Toronto E08,765900,598800,517000,416700,2017-09-01
Toronto E09,689400,566000,516800,432500,2017-09-01
Toronto E10,808100,641300,536700,389600,2017-09-01
Toronto E11,727100,573700,396400,439700,2017-09-01
City of Toronto,1080800,842100,604600,492800,2018-01-01
Toronto W01,1169400,933900,503500,496000,2018-01-01
Toronto W02,1052900,910600,591500,522100,2018-01-01
Toronto W03,728000,662600,511200,417000,2018-01-01
Toronto W04,762800,659900,513500,347800,2018-01-01
Toronto W05,780100,628900,404800,311000,2018-01-01
Toronto W06,821500,631500,772100,418100,2018-01-01
Toronto W07,1004700,834800,,564500,2018-01-01
Toronto W08,1056900,738700,508900,420200,2018-01-01
Toronto W09,807400,560400,651000,281500,2018-01-01
Toronto W10,701700,611100,444900,320400,2018-01-01
Toronto C01,1036200,923800,740100,550900,2018-01-01
Toronto C02,1758500,1299600,1155700,700800,2018-01-01
Toronto C03,1592300,1012300,,828900,2018-01-01
Toronto C04,1748000,1201300,1064200,527800,2018-01-01
Toronto C06,1121200,772800,626500,613000,2018-01-01
Toronto C07,1329800,744600,652800,548500,2018-01-01
Toronto C08,1439900,1164900,672000,533900,2018-01-01
Toronto C09,1636800,1179900,1448100,617200,2018-01-01
Toronto C10,1565100,1210800,731200,598700,2018-01-01
Toronto C11,1349400,974100,380900,404500,2018-01-01
Toronto C12,2145700,1115900,873000,815200,2018-01-01
Toronto C13,1353000,720500,714600,454900,2018-01-01
Toronto C14,1557500,1098500,814400,590800,2018-01-01
Toronto C15,1414200,809500,653900,497400,2018-01-01
Toronto E01,1049800,960500,662500,682700,2018-01-01
Toronto E02,1068400,946000,915100,686500,2018-01-01
Toronto E03,856700,753800,,317700,2018-01-01
Toronto E04,714100,606500,505700,417600,2018-01-01
Toronto E05,879700,660800,537800,442100,2018-01-01
Toronto E06,721400,603200,580200,496500,2018-01-01
Toronto E07,864300,663400,547700,413800,2018-01-01
Toronto E08,759600,565900,499700,417800,2018-01-01
Toronto E09,680900,562300,496000,442700,2018-01-01
Toronto E10,785700,612700,514500,374100,2018-01-01
Toronto E11,719000,566000,392700,426800,2018-01-01
City of Toronto,1090000,854400,607100,504700,2018-02-01
Toronto W01,1142200,914200,494000,505800,2018-02-01
Toronto W02,1081200,899300,588600,537800,2018-02-01
Toronto W03,737000,674700,503800,425300,2018-02-01
Toronto W04,771600,673500,510200,352400,2018-02-01
Toronto W05,793300,640900,406400,328000,2018-02-01
Toronto W06,828200,633600,763100,421100,2018-02-01
Toronto W07,1014600,838100,,588400,2018-02-01
Toronto W08,1070500,745000,510800,427700,2018-02-01
Toronto W09,821900,568800,653600,278800,2018-02-01
Toronto W10,717300,619600,460800,321000,2018-02-01
Toronto C01,1075200,965100,751200,575600,2018-02-01
Toronto C02,1774500,1318500,1163300,694800,2018-02-01
Toronto C03,1629800,1041300,,850700,2018-02-01
Toronto C04,1764900,1180700,1125200,525300,2018-02-01
Toronto C06,1131900,837500,620900,620100,2018-02-01
Toronto C07,1355900,765800,647100,561200,2018-02-01
Toronto C08,1453300,1172100,678200,538300,2018-02-01
Toronto C09,1738500,1233600,1516600,638100,2018-02-01
Toronto C10,1540400,1179200,747200,622600,2018-02-01
Toronto C11,1396400,1035700,390300,409600,2018-02-01
Toronto C12,2157500,1088700,864600,841200,2018-02-01
Toronto C13,1369500,733900,707400,460300,2018-02-01
Toronto C14,1583500,1133600,827000,617500,2018-02-01
Toronto C15,1419400,811800,649100,498100,2018-02-01
Toronto E01,1076900,984500,663600,678900,2018-02-01
Toronto E02,1076200,955100,906100,691700,2018-02-01
Toronto E03,879600,800700,,325300,2018-02-01
Toronto E04,708200,609700,512000,424700,2018-02-01
Toronto E05,888500,671200,540800,454700,2018-02-01
Toronto E06,707500,586600,591000,506500,2018-02-01
Toronto E07,865000,664400,549800,423700,2018-02-01
Toronto E08,749300,547200,507400,422500,2018-02-01
Toronto E09,674900,559900,499000,443400,2018-02-01
Toronto E10,771600,584700,511200,380600,2018-02-01
Toronto E11,731500,577100,396600,417300,2018-02-01
City of Toronto,1100500,863700,607100,513700,2018-03-01
Toronto W01,1201200,958600,507800,512800,2018-03-01
Toronto W02,1063500,880600,601400,552300,2018-03-01
Toronto W03,761200,706400,516900,434400,2018-03-01
Toronto W04,787700,700400,518700,366600,2018-03-01
Toronto W05,804600,652000,402800,319600,2018-03-01
Toronto W06,852200,666400,795300,432000,2018-03-01
Toronto W07,1041100,879100,,587600,2018-03-01
Toronto W08,1100300,776900,525000,437500,2018-03-01
Toronto W09,839400,573100,653600,283400,2018-03-01
Toronto W10,739500,634700,444000,328100,2018-03-01
Toronto C01,1056600,951100,749800,577500,2018-03-01
Toronto C02,1796100,1353100,1195400,703100,2018-03-01
Toronto C03,1658100,1070900,,864100,2018-03-01
Toronto C04,1736700,1141800,1090300,540700,2018-03-01
Toronto C06,1117300,826100,639400,629200,2018-03-01
Toronto C07,1339000,759300,662900,580200,2018-03-01
Toronto C08,1503500,1212600,676700,561400,2018-03-01
Toronto C09,1757400,1274300,1508900,657300,2018-03-01
Toronto C10,1517600,1165400,749600,644800,2018-03-01
Toronto C11,1451600,1052500,380900,417700,2018-03-01
Toronto C12,2147800,1065300,871400,848400,2018-03-01
Toronto C13,1349800,722400,716100,456500,2018-03-01
Toronto C14,1558600,1113100,824300,633600,2018-03-01
Toronto C15,1403900,803000,643600,508300,2018-03-01
Toronto E01,1084000,993700,659800,694800,2018-03-01
Toronto E02,1110800,975800,889000,683800,2018-03-01
Toronto E03,914700,826500,,328200,2018-03-01
Toronto E04,714700,598100,505700,424900,2018-03-01
Toronto E05,888200,669900,536500,465700,2018-03-01
Toronto E06,727200,610400,569000,497200,2018-03-01
Toronto E07,864000,658400,553100,432800,2018-03-01
Toronto E08,770500,574200,500900,424400,2018-03-01
Toronto E09,680300,561100,494900,455800,2018-03-01
Toronto E10,762000,588100,516100,389600,2018-03-01
Toronto E11,734300,585500,392100,440400,2018-03-01
City of Toronto,1109700,878100,620800,523000,2018-04-01
Toronto W01,1254400,1012600,526000,546700,2018-04-01
Toronto W02,1063500,889200,634100,559800,2018-04-01
Toronto W03,777800,720800,551200,452100,2018-04-01
Toronto W04,793300,696000,541400,368300,2018-04-01
Toronto W05,797600,646500,416000,325600,2018-04-01
Toronto W06,845800,651500,840200,437600,2018-04-01
Toronto W07,1046700,867200,,612700,2018-04-01
Toronto W08,1102400,770600,556300,450400,2018-04-01
Toronto W09,852500,596100,686600,287800,2018-04-01
Toronto W10,738600,636200,446400,330300,2018-04-01
Toronto C01,1079700,962700,774200,590800,2018-04-01
Toronto C02,1890400,1436000,1232100,734200,2018-04-01
Toronto C03,1690700,1095400,,842000,2018-04-01
Toronto C04,1702900,1134800,1093200,545400,2018-04-01
Toronto C06,1098600,782800,676400,604000,2018-04-01
Toronto C07,1338500,756500,700700,581400,2018-04-01
Toronto C08,1551900,1248400,704600,566800,2018-04-01
Toronto C09,1761100,1267800,1644700,659000,2018-04-01
Toronto C10,1525000,1174300,794500,664300,2018-04-01
Toronto C11,1445500,1050300,364800,437600,2018-04-01
Toronto C12,2139200,1067400,824600,865700,2018-04-01
Toronto C13,1339600,721100,672700,469400,2018-04-01
Toronto C14,1595400,1148700,830800,642700,2018-04-01
Toronto C15,1416100,807200,654100,512700,2018-04-01
Toronto E01,1130600,1035600,682800,734600,2018-04-01
Toronto E02,1116300,990900,894400,694400,2018-04-01
Toronto E03,933200,844500,,336900,2018-04-01
Toronto E04,719700,614500,510300,432800,2018-04-01
Toronto E05,885000,663200,534800,454100,2018-04-01
Toronto E06,758300,646300,596500,514900,2018-04-01
Toronto E07,861000,658200,552200,435200,2018-04-01
Toronto E08,791400,605000,503300,439800,2018-04-01
Toronto E09,688300,570600,496400,466700,2018-04-01
Toronto E10,790500,617700,517100,400400,2018-04-01
Toronto E11,728200,579100,406100,437100,2018-04-01
City of Toronto,1123800,891400,631700,527100,2018-05-01
Toronto W01,1303500,1041100,529300,556200,2018-05-01
Toronto W02,1074000,901700,647800,581100,2018-05-01
Toronto W03,782400,724100,557700,461600,2018-05-01
Toronto W04,805300,707300,538500,372000,2018-05-01
Toronto W05,806900,651100,413500,335100,2018-05-01
Toronto W06,859900,657900,896700,446400,2018-05-01
Toronto W07,1062700,878300,,617200,2018-05-01
Toronto W08,1111300,764600,593600,457900,2018-05-01
Toronto W09,853600,582000,696200,309700,2018-05-01
Toronto W10,743100,634900,456200,333800,2018-05-01
Toronto C01,1074400,962700,779300,596500,2018-05-01
Toronto C02,1883200,1427000,1284300,719300,2018-05-01
Toronto C03,1683900,1078000,,867300,2018-05-01
Toronto C04,1740200,1161500,1156100,539800,2018-05-01
Toronto C06,1143000,786800,667800,640500,2018-05-01
Toronto C07,1375100,775800,690300,591200,2018-05-01
Toronto C08,1648800,1333800,693400,567000,2018-05-01
Toronto C09,1785000,1266200,1609700,671500,2018-05-01
Toronto C10,1573700,1203400,807400,661000,2018-05-01
Toronto C11,1447500,1059200,366000,438400,2018-05-01
Toronto C12,2138200,1059800,841800,858100,2018-05-01
Toronto C13,1324700,717600,692100,477000,2018-05-01
Toronto C14,1602400,1186700,851500,639700,2018-05-01
Toronto C15,1423200,813400,684300,509000,2018-05-01
Toronto E01,1165900,1081000,676800,716600,2018-05-01
Toronto E02,1145900,1013000,904900,710800,2018-05-01
Toronto E03,951400,861200,,347700,2018-05-01
Toronto E04,724400,609900,529800,435000,2018-05-01
Toronto E05,902300,682500,532100,453500,2018-05-01
Toronto E06,772900,646800,643700,524700,2018-05-01
Toronto E07,863700,660300,558900,443900,2018-05-01
