Toronto Municipality,Effective Date,Attribute,Value
Toronto E04,2015-01-01,HPI - Single-Family Detached,538900
Toronto E04,2015-01-01,HPI - Single-Family Attached,415600
Toronto E04,2015-01-01,HPI - Townhouse,370000
Toronto E04,2015-01-01,HPI - Apartment,278400
Toronto E05,2015-01-01,HPI - Single-Family Detached,682200
Toronto E05,2015-01-01,HPI - Single-Family Attached,520500
Toronto E05,2015-01-01,HPI - Townhouse,373900
Toronto E05,2015-01-01,HPI - Apartment,284900
Toronto E06,2015-01-01,HPI - Single-Family Detached,525600
Toronto E06,2015-01-01,HPI - Single-Family Attached,450400
Toronto E06,2015-01-01,HPI - Townhouse,
Toronto E06,2015-01-01,HPI - Apartment,387200
Toronto E07,2015-01-01,HPI - Single-Family Detached,675500
Toronto E07,2015-01-01,HPI - Single-Family Attached,517800
Toronto E07,2015-01-01,HPI - Townhouse,393000
Toronto E07,2015-01-01,HPI - Apartment,274600
Toronto E08,2015-01-01,HPI - Single-Family Detached,557200
Toronto E08,2015-01-01,HPI - Single-Family Attached,416900
Toronto E08,2015-01-01,HPI - Townhouse,342500
Toronto E08,2015-01-01,HPI - Apartment,231800
Toronto E09,2015-01-01,HPI - Single-Family Detached,516500
Toronto E09,2015-01-01,HPI - Single-Family Attached,401300
Toronto E09,2015-01-01,HPI - Townhouse,307900
Toronto E09,2015-01-01,HPI - Apartment,277000
Toronto E10,2015-01-01,HPI - Single-Family Detached,586400
Toronto E10,2015-01-01,HPI - Single-Family Attached,464800
Toronto E10,2015-01-01,HPI - Townhouse,338200
Toronto E10,2015-01-01,HPI - Apartment,222900
Toronto E11,2015-01-01,HPI - Single-Family Detached,505400
Toronto E11,2015-01-01,HPI - Single-Family Attached,400600
Toronto E11,2015-01-01,HPI - Townhouse,272000
Toronto E11,2015-01-01,HPI - Apartment,203900
City of Toronto,2015-02-01,HPI - Single-Family Detached,794300
City of Toronto,2015-02-01,HPI - Single-Family Attached,629600
City of Toronto,2015-02-01,HPI - Townhouse,415000
City of Toronto,2015-02-01,HPI - Apartment,329800
Toronto W01,2015-02-01,HPI - Single-Family Detached,871600
Toronto W01,2015-02-01,HPI - Single-Family Attached,682600
Toronto W01,2015-02-01,HPI - Townhouse,419900
Toronto W01,2015-02-01,HPI - Apartment,310900
Toronto W02,2015-02-01,HPI - Single-Family Detached,819300
Toronto W02,2015-02-01,HPI - Single-Family Attached,681000
Toronto W02,2015-02-01,HPI - Townhouse,412200
Toronto W02,2015-02-01,HPI - Apartment,549200
Toronto W03,2015-02-01,HPI - Single-Family Detached,515100
Toronto W03,2015-02-01,HPI - Single-Family Attached,497000
Toronto W03,2015-02-01,HPI - Townhouse,
Toronto W03,2015-02-01,HPI - Apartment,249800
Toronto W04,2015-02-01,HPI - Single-Family Detached,541800
Toronto W04,2015-02-01,HPI - Single-Family Attached,495500
Toronto W04,2015-02-01,HPI - Townhouse,346000
Toronto W04,2015-02-01,HPI - Apartment,207600
Toronto W05,2015-02-01,HPI - Single-Family Detached,555700
Toronto W05,2015-02-01,HPI - Single-Family Attached,451700
Toronto W05,2015-02-01,HPI - Townhouse,239200
Toronto W05,2015-02-01,HPI - Apartment,156200
Toronto W06,2015-02-01,HPI - Single-Family Detached,586900
Toronto W06,2015-02-01,HPI - Single-Family Attached,469300
