Toronto Municipality,Effective Date,Attribute,Value
City of Toronto,2016-01-01,HPI - Townhouse,454600
City of Toronto,2016-01-01,HPI - Apartment,346300
Toronto W01,2016-01-01,HPI - Single-Family Detached,942700
Toronto W01,2016-01-01,HPI - Single-Family Attached,742300
Toronto W01,2016-01-01,HPI - Townhouse,383000
Toronto W01,2016-01-01,HPI - Apartment,354200
Toronto W02,2016-01-01,HPI - Single-Family Detached,871100
Toronto W02,2016-01-01,HPI - Single-Family Attached,728100
Toronto W02,2016-01-01,HPI - Townhouse,455700
Toronto W02,2016-01-01,HPI - Apartment,590100
Toronto W03,2016-01-01,HPI - Single-Family Detached,563000
Toronto W03,2016-01-01,HPI - Single-Family Attached,540800
Toronto W03,2016-01-01,HPI - Townhouse,330100
Toronto W03,2016-01-01,HPI - Apartment,293100
Toronto W04,2016-01-01,HPI - Single-Family Detached,604400
Toronto W04,2016-01-01,HPI - Single-Family Attached,548400
Toronto W04,2016-01-01,HPI - Townhouse,435800
Toronto W04,2016-01-01,HPI - Apartment,222400
Toronto W05,2016-01-01,HPI - Single-Family Detached,615100
Toronto W05,2016-01-01,HPI - Single-Family Attached,499500
Toronto W05,2016-01-01,HPI - Townhouse,317600
Toronto W05,2016-01-01,HPI - Apartment,182000
Toronto W06,2016-01-01,HPI - Single-Family Detached,660500
Toronto W06,2016-01-01,HPI - Single-Family Attached,524200
Toronto W06,2016-01-01,HPI - Townhouse,487000
Toronto W06,2016-01-01,HPI - Apartment,330000
Toronto W07,2016-01-01,HPI - Single-Family Detached,810800
Toronto W07,2016-01-01,HPI - Single-Family Attached,743300
Toronto W07,2016-01-01,HPI - Townhouse,443300
Toronto W07,2016-01-01,HPI - Apartment,437900
Toronto W08,2016-01-01,HPI - Single-Family Detached,921200
Toronto W08,2016-01-01,HPI - Single-Family Attached,673000
Toronto W08,2016-01-01,HPI - Townhouse,351300
Toronto W08,2016-01-01,HPI - Apartment,285200
Toronto W09,2016-01-01,HPI - Single-Family Detached,698400
Toronto W09,2016-01-01,HPI - Single-Family Attached,505400
Toronto W09,2016-01-01,HPI - Townhouse,445400
Toronto W09,2016-01-01,HPI - Apartment,190200
Toronto W10,2016-01-01,HPI - Single-Family Detached,545900
Toronto W10,2016-01-01,HPI - Single-Family Attached,491000
Toronto W10,2016-01-01,HPI - Townhouse,297000
Toronto W10,2016-01-01,HPI - Apartment,225700
Toronto C01,2016-01-01,HPI - Single-Family Detached,698200
Toronto C01,2016-01-01,HPI - Single-Family Attached,752500
Toronto C01,2016-01-01,HPI - Townhouse,549000
Toronto C01,2016-01-01,HPI - Apartment,395000
Toronto C02,2016-01-01,HPI - Single-Family Detached,1547200
Toronto C02,2016-01-01,HPI - Single-Family Attached,1140300
Toronto C02,2016-01-01,HPI - Townhouse,904300
Toronto C02,2016-01-01,HPI - Apartment,537400
Toronto C03,2016-01-01,HPI - Single-Family Detached,1265100
Toronto C03,2016-01-01,HPI - Single-Family Attached,793700
Toronto C03,2016-01-01,HPI - Townhouse,
Toronto C03,2016-01-01,HPI - Apartment,490400
Toronto C04,2016-01-01,HPI - Single-Family Detached,1405700
Toronto C04,2016-01-01,HPI - Single-Family Attached,965300
Toronto C04,2016-01-01,HPI - Townhouse,585400
Toronto C04,2016-01-01,HPI - Apartment,374100
Toronto C06,2016-01-01,HPI - Single-Family Detached,917200
Toronto C06,2016-01-01,HPI - Single-Family Attached,652900
Toronto C06,2016-01-01,HPI - Townhouse,
Toronto C06,2016-01-01,HPI - Apartment,420500
Toronto C07,2016-01-01,HPI - Single-Family Detached,1095500
Toronto C07,2016-01-01,HPI - Single-Family Attached,659200
Toronto C07,2016-01-01,HPI - Townhouse,497400
Toronto C07,2016-01-01,HPI - Apartment,415100
Toronto C08,2016-01-01,HPI - Single-Family Detached,508500
Toronto C08,2016-01-01,HPI - Single-Family Attached,868600
Toronto C08,2016-01-01,HPI - Townhouse,550500
Toronto C08,2016-01-01,HPI - Apartment,388000
Toronto C09,2016-01-01,HPI - Single-Family Detached,1602900
Toronto C09,2016-01-01,HPI - Single-Family Attached,1189600
Toronto C09,2016-01-01,HPI - Townhouse,822800
Toronto C09,2016-01-01,HPI - Apartment,487000
Toronto C10,2016-01-01,HPI - Single-Family Detached,1300400
Toronto C10,2016-01-01,HPI - Single-Family Attached,971000
Toronto C10,2016-01-01,HPI - Townhouse,620300
Toronto C10,2016-01-01,HPI - Apartment,469400
Toronto C11,2016-01-01,HPI - Single-Family Detached,1237300
Toronto C11,2016-01-01,HPI - Single-Family Attached,900100
Toronto C11,2016-01-01,HPI - Townhouse,201300
Toronto C11,2016-01-01,HPI - Apartment,285200
Toronto C12,2016-01-01,HPI - Single-Family Detached,1865700
Toronto C12,2016-01-01,HPI - Single-Family Attached,854500
Toronto C12,2016-01-01,HPI - Townhouse,884000
Toronto C12,2016-01-01,HPI - Apartment,549700
Toronto C13,2016-01-01,HPI - Single-Family Detached,1023900
Toronto C13,2016-01-01,HPI - Single-Family Attached,577400
Toronto C13,2016-01-01,HPI - Townhouse,538600
Toronto C13,2016-01-01,HPI - Apartment,300600
Toronto C14,2016-01-01,HPI - Single-Family Detached,1334600
Toronto C14,2016-01-01,HPI - Single-Family Attached,991700
Toronto C14,2016-01-01,HPI - Townhouse,733900
Toronto C14,2016-01-01,HPI - Apartment,410400
Toronto C15,2016-01-01,HPI - Single-Family Detached,1106400
Toronto C15,2016-01-01,HPI - Single-Family Attached,690300
Toronto C15,2016-01-01,HPI - Townhouse,489100
Toronto C15,2016-01-01,HPI - Apartment,334900
Toronto E01,2016-01-01,HPI - Single-Family Detached,796200
Toronto E01,2016-01-01,HPI - Single-Family Attached,755800
Toronto E01,2016-01-01,HPI - Townhouse,418800
Toronto E01,2016-01-01,HPI - Apartment,423600
Toronto E02,2016-01-01,HPI - Single-Family Detached,887400
Toronto E02,2016-01-01,HPI - Single-Family Attached,738500
Toronto E02,2016-01-01,HPI - Townhouse,680200
Toronto E02,2016-01-01,HPI - Apartment,592700
Toronto E03,2016-01-01,HPI - Single-Family Detached,720000
Toronto E03,2016-01-01,HPI - Single-Family Attached,665500
Toronto E03,2016-01-01,HPI - Townhouse,
Toronto E03,2016-01-01,HPI - Apartment,240700
Toronto E04,2016-01-01,HPI - Single-Family Detached,582300
Toronto E04,2016-01-01,HPI - Single-Family Attached,452900
Toronto E04,2016-01-01,HPI - Townhouse,425300
Toronto E04,2016-01-01,HPI - Apartment,280400
Toronto E05,2016-01-01,HPI - Single-Family Detached,746500
Toronto E05,2016-01-01,HPI - Single-Family Attached,556600
Toronto E05,2016-01-01,HPI - Townhouse,429600
Toronto E05,2016-01-01,HPI - Apartment,311600
Toronto E06,2016-01-01,HPI - Single-Family Detached,586700
Toronto E06,2016-01-01,HPI - Single-Family Attached,483700
Toronto E06,2016-01-01,HPI - Townhouse,521800
Toronto E06,2016-01-01,HPI - Apartment,391400
Toronto E07,2016-01-01,HPI - Single-Family Detached,744300
Toronto E07,2016-01-01,HPI - Single-Family Attached,567000
Toronto E07,2016-01-01,HPI - Townhouse,441400
Toronto E07,2016-01-01,HPI - Apartment,302200
Toronto E08,2016-01-01,HPI - Single-Family Detached,625600
Toronto E08,2016-01-01,HPI - Single-Family Attached,497400
Toronto E08,2016-01-01,HPI - Townhouse,386400
Toronto E08,2016-01-01,HPI - Apartment,262500
Toronto E09,2016-01-01,HPI - Single-Family Detached,573200
Toronto E09,2016-01-01,HPI - Single-Family Attached,468200
Toronto E09,2016-01-01,HPI - Townhouse,339700
Toronto E09,2016-01-01,HPI - Apartment,276400
Toronto E10,2016-01-01,HPI - Single-Family Detached,630600
Toronto E10,2016-01-01,HPI - Single-Family Attached,494200
Toronto E10,2016-01-01,HPI - Townhouse,354100
Toronto E10,2016-01-01,HPI - Apartment,210400
Toronto E11,2016-01-01,HPI - Single-Family Detached,555100
Toronto E11,2016-01-01,HPI - Single-Family Attached,435700
Toronto E11,2016-01-01,HPI - Townhouse,302200
Toronto E11,2016-01-01,HPI - Apartment,218900
City of Toronto,2016-02-01,HPI - Single-Family Detached,878000
City of Toronto,2016-02-01,HPI - Single-Family Attached,688500
City of Toronto,2016-02-01,HPI - Townhouse,453400
City of Toronto,2016-02-01,HPI - Apartment,349200
Toronto W01,2016-02-01,HPI - Single-Family Detached,937500
Toronto W01,2016-02-01,HPI - Single-Family Attached,758900
Toronto W01,2016-02-01,HPI - Townhouse,401900
Toronto W01,2016-02-01,HPI - Apartment,357300
Toronto W02,2016-02-01,HPI - Single-Family Detached,865700
Toronto W02,2016-02-01,HPI - Single-Family Attached,742200
Toronto W02,2016-02-01,HPI - Townhouse,459600
Toronto W02,2016-02-01,HPI - Apartment,595800
Toronto W03,2016-02-01,HPI - Single-Family Detached,576100
Toronto W03,2016-02-01,HPI - Single-Family Attached,549800
Toronto W03,2016-02-01,HPI - Townhouse,328500
Toronto W03,2016-02-01,HPI - Apartment,283800
Toronto W04,2016-02-01,HPI - Single-Family Detached,601500
Toronto W04,2016-02-01,HPI - Single-Family Attached,559200
Toronto W04,2016-02-01,HPI - Townhouse,446700
Toronto W04,2016-02-01,HPI - Apartment,229600
Toronto W05,2016-02-01,HPI - Single-Family Detached,618500
Toronto W05,2016-02-01,HPI - Single-Family Attached,503600
Toronto W05,2016-02-01,HPI - Townhouse,292300
Toronto W05,2016-02-01,HPI - Apartment,196200
Toronto W06,2016-02-01,HPI - Single-Family Detached,645000
Toronto W06,2016-02-01,HPI - Single-Family Attached,515100
Toronto W06,2016-02-01,HPI - Townhouse,518200
Toronto W06,2016-02-01,HPI - Apartment,307800
Toronto W07,2016-02-01,HPI - Single-Family Detached,816000
Toronto W07,2016-02-01,HPI - Single-Family Attached,720400
Toronto W07,2016-02-01,HPI - Townhouse,467200
Toronto W07,2016-02-01,HPI - Apartment,438800
Toronto W08,2016-02-01,HPI - Single-Family Detached,901800
Toronto W08,2016-02-01,HPI - Single-Family Attached,662000
Toronto W08,2016-02-01,HPI - Townhouse,368200
Toronto W08,2016-02-01,HPI - Apartment,289300
Toronto W09,2016-02-01,HPI - Single-Family Detached,691700
Toronto W09,2016-02-01,HPI - Single-Family Attached,478200
Toronto W09,2016-02-01,HPI - Townhouse,492400
Toronto W09,2016-02-01,HPI - Apartment,204900
Toronto W10,2016-02-01,HPI - Single-Family Detached,554800
Toronto W10,2016-02-01,HPI - Single-Family Attached,487800
Toronto W10,2016-02-01,HPI - Townhouse,295300
Toronto W10,2016-02-01,HPI - Apartment,215800
Toronto C01,2016-02-01,HPI - Single-Family Detached,698900
Toronto C01,2016-02-01,HPI - Single-Family Attached,758700
Toronto C01,2016-02-01,HPI - Townhouse,556200
Toronto C01,2016-02-01,HPI - Apartment,396800
Toronto C02,2016-02-01,HPI - Single-Family Detached,1446500
Toronto C02,2016-02-01,HPI - Single-Family Attached,1110300
Toronto C02,2016-02-01,HPI - Townhouse,939900
Toronto C02,2016-02-01,HPI - Apartment,527700
Toronto C03,2016-02-01,HPI - Single-Family Detached,1237300
Toronto C03,2016-02-01,HPI - Single-Family Attached,817400
Toronto C03,2016-02-01,HPI - Townhouse,
Toronto C03,2016-02-01,HPI - Apartment,577000
Toronto C04,2016-02-01,HPI - Single-Family Detached,1403600
Toronto C04,2016-02-01,HPI - Single-Family Attached,975800
Toronto C04,2016-02-01,HPI - Townhouse,630600
Toronto C04,2016-02-01,HPI - Apartment,374900
Toronto C06,2016-02-01,HPI - Single-Family Detached,921500
Toronto C06,2016-02-01,HPI - Single-Family Attached,724200
Toronto C06,2016-02-01,HPI - Townhouse,
Toronto C06,2016-02-01,HPI - Apartment,406200
Toronto C07,2016-02-01,HPI - Single-Family Detached,1084100
Toronto C07,2016-02-01,HPI - Single-Family Attached,668900
Toronto C07,2016-02-01,HPI - Townhouse,467100
Toronto C07,2016-02-01,HPI - Apartment,377000
Toronto C08,2016-02-01,HPI - Single-Family Detached,488300
Toronto C08,2016-02-01,HPI - Single-Family Attached,800200
Toronto C08,2016-02-01,HPI - Townhouse,549300
Toronto C08,2016-02-01,HPI - Apartment,396900
Toronto C09,2016-02-01,HPI - Single-Family Detached,1644400
Toronto C09,2016-02-01,HPI - Single-Family Attached,1205100
Toronto C09,2016-02-01,HPI - Townhouse,825900
Toronto C09,2016-02-01,HPI - Apartment,508500
Toronto C10,2016-02-01,HPI - Single-Family Detached,1283900
Toronto C10,2016-02-01,HPI - Single-Family Attached,1014500
Toronto C10,2016-02-01,HPI - Townhouse,549200
Toronto C10,2016-02-01,HPI - Apartment,484000
Toronto C11,2016-02-01,HPI - Single-Family Detached,1242600
Toronto C11,2016-02-01,HPI - Single-Family Attached,935200
Toronto C11,2016-02-01,HPI - Townhouse,187900
Toronto C11,2016-02-01,HPI - Apartment,275600
Toronto C12,2016-02-01,HPI - Single-Family Detached,1822700
Toronto C12,2016-02-01,HPI - Single-Family Attached,872600
Toronto C12,2016-02-01,HPI - Townhouse,689900
Toronto C12,2016-02-01,HPI - Apartment,591300
Toronto C13,2016-02-01,HPI - Single-Family Detached,1087700
Toronto C13,2016-02-01,HPI - Single-Family Attached,611400
Toronto C13,2016-02-01,HPI - Townhouse,518300
Toronto C13,2016-02-01,HPI - Apartment,317800
Toronto C14,2016-02-01,HPI - Single-Family Detached,1286300
Toronto C14,2016-02-01,HPI - Single-Family Attached,1004400
Toronto C14,2016-02-01,HPI - Townhouse,767400
Toronto C14,2016-02-01,HPI - Apartment,413700
Toronto C15,2016-02-01,HPI - Single-Family Detached,1111100
Toronto C15,2016-02-01,HPI - Single-Family Attached,697800
Toronto C15,2016-02-01,HPI - Townhouse,490800
Toronto C15,2016-02-01,HPI - Apartment,347300
Toronto E01,2016-02-01,HPI - Single-Family Detached,795500
Toronto E01,2016-02-01,HPI - Single-Family Attached,766800
Toronto E01,2016-02-01,HPI - Townhouse,426000
Toronto E01,2016-02-01,HPI - Apartment,474600
Toronto E02,2016-02-01,HPI - Single-Family Detached,844700
Toronto E02,2016-02-01,HPI - Single-Family Attached,747500
Toronto E02,2016-02-01,HPI - Townhouse,667100
Toronto E02,2016-02-01,HPI - Apartment,574600
Toronto E03,2016-02-01,HPI - Single-Family Detached,731500
Toronto E03,2016-02-01,HPI - Single-Family Attached,674600
Toronto E03,2016-02-01,HPI - Townhouse,
Toronto E03,2016-02-01,HPI - Apartment,237600
Toronto E04,2016-02-01,HPI - Single-Family Detached,593000
Toronto E04,2016-02-01,HPI - Single-Family Attached,472100
Toronto E04,2016-02-01,HPI - Townhouse,412100
Toronto E04,2016-02-01,HPI - Apartment,276900
Toronto E05,2016-02-01,HPI - Single-Family Detached,755300
Toronto E05,2016-02-01,HPI - Single-Family Attached,575300
Toronto E05,2016-02-01,HPI - Townhouse,437000
Toronto E05,2016-02-01,HPI - Apartment,314000
Toronto E06,2016-02-01,HPI - Single-Family Detached,601300
Toronto E06,2016-02-01,HPI - Single-Family Attached,499600
Toronto E06,2016-02-01,HPI - Townhouse,498800
Toronto E06,2016-02-01,HPI - Apartment,424000
Toronto E07,2016-02-01,HPI - Single-Family Detached,768800
Toronto E07,2016-02-01,HPI - Single-Family Attached,581900
Toronto E07,2016-02-01,HPI - Townhouse,452700
Toronto E07,2016-02-01,HPI - Apartment,290200
Toronto E08,2016-02-01,HPI - Single-Family Detached,632800
Toronto E08,2016-02-01,HPI - Single-Family Attached,468100
Toronto E08,2016-02-01,HPI - Townhouse,386000
Toronto E08,2016-02-01,HPI - Apartment,256200
Toronto E09,2016-02-01,HPI - Single-Family Detached,579200
Toronto E09,2016-02-01,HPI - Single-Family Attached,459400
Toronto E09,2016-02-01,HPI - Townhouse,342200
Toronto E09,2016-02-01,HPI - Apartment,298500
Toronto E10,2016-02-01,HPI - Single-Family Detached,649200
Toronto E10,2016-02-01,HPI - Single-Family Attached,506700
Toronto E10,2016-02-01,HPI - Townhouse,359100
Toronto E10,2016-02-01,HPI - Apartment,236000
Toronto E11,2016-02-01,HPI - Single-Family Detached,568500
Toronto E11,2016-02-01,HPI - Single-Family Attached,451600
Toronto E11,2016-02-01,HPI - Townhouse,306300
Toronto E11,2016-02-01,HPI - Apartment,249300
City of Toronto,2016-03-01,HPI - Single-Family Detached,897600
City of Toronto,2016-03-01,HPI - Single-Family Attached,701800
City of Toronto,2016-03-01,HPI - Townhouse,464500
City of Toronto,2016-03-01,HPI - Apartment,355400
Toronto W01,2016-03-01,HPI - Single-Family Detached,957100
Toronto W01,2016-03-01,HPI - Single-Family Attached,777400
Toronto W01,2016-03-01,HPI - Townhouse,391600
Toronto W01,2016-03-01,HPI - Apartment,351900
Toronto W02,2016-03-01,HPI - Single-Family Detached,895700
Toronto W02,2016-03-01,HPI - Single-Family Attached,768500
Toronto W02,2016-03-01,HPI - Townhouse,458500
Toronto W02,2016-03-01,HPI - Apartment,601900
Toronto W03,2016-03-01,HPI - Single-Family Detached,587800
Toronto W03,2016-03-01,HPI - Single-Family Attached,551900
Toronto W03,2016-03-01,HPI - Townhouse,326300
Toronto W03,2016-03-01,HPI - Apartment,285900
Toronto W04,2016-03-01,HPI - Single-Family Detached,608800
Toronto W04,2016-03-01,HPI - Single-Family Attached,556000
Toronto W04,2016-03-01,HPI - Townhouse,452500
Toronto W04,2016-03-01,HPI - Apartment,233800
Toronto W05,2016-03-01,HPI - Single-Family Detached,636100
Toronto W05,2016-03-01,HPI - Single-Family Attached,516500
Toronto W05,2016-03-01,HPI - Townhouse,297900
Toronto W05,2016-03-01,HPI - Apartment,191600
Toronto W06,2016-03-01,HPI - Single-Family Detached,667500
Toronto W06,2016-03-01,HPI - Single-Family Attached,542100
Toronto W06,2016-03-01,HPI - Townhouse,546500
Toronto W06,2016-03-01,HPI - Apartment,313700
Toronto W07,2016-03-01,HPI - Single-Family Detached,841100
Toronto W07,2016-03-01,HPI - Single-Family Attached,754000
Toronto W07,2016-03-01,HPI - Townhouse,483000
Toronto W07,2016-03-01,HPI - Apartment,459400
Toronto W08,2016-03-01,HPI - Single-Family Detached,926400
Toronto W08,2016-03-01,HPI - Single-Family Attached,685900
Toronto W08,2016-03-01,HPI - Townhouse,379700
Toronto W08,2016-03-01,HPI - Apartment,297500
Toronto W09,2016-03-01,HPI - Single-Family Detached,709300
Toronto W09,2016-03-01,HPI - Single-Family Attached,485800
Toronto W09,2016-03-01,HPI - Townhouse,475600
Toronto W09,2016-03-01,HPI - Apartment,196400
Toronto W10,2016-03-01,HPI - Single-Family Detached,573300
Toronto W10,2016-03-01,HPI - Single-Family Attached,495900
Toronto W10,2016-03-01,HPI - Townhouse,299100
Toronto W10,2016-03-01,HPI - Apartment,218700
Toronto C01,2016-03-01,HPI - Single-Family Detached,714800
Toronto C01,2016-03-01,HPI - Single-Family Attached,774000
Toronto C01,2016-03-01,HPI - Townhouse,570200
Toronto C01,2016-03-01,HPI - Apartment,403300
Toronto C02,2016-03-01,HPI - Single-Family Detached,1471900
Toronto C02,2016-03-01,HPI - Single-Family Attached,1134000
Toronto C02,2016-03-01,HPI - Townhouse,950200
Toronto C02,2016-03-01,HPI - Apartment,534100
Toronto C03,2016-03-01,HPI - Single-Family Detached,1253600
Toronto C03,2016-03-01,HPI - Single-Family Attached,827400
Toronto C03,2016-03-01,HPI - Townhouse,
Toronto C03,2016-03-01,HPI - Apartment,572000
Toronto C04,2016-03-01,HPI - Single-Family Detached,1400800
Toronto C04,2016-03-01,HPI - Single-Family Attached,974800
Toronto C04,2016-03-01,HPI - Townhouse,638500
Toronto C04,2016-03-01,HPI - Apartment,358700
Toronto C06,2016-03-01,HPI - Single-Family Detached,942900
Toronto C06,2016-03-01,HPI - Single-Family Attached,730900
Toronto C06,2016-03-01,HPI - Townhouse,
Toronto C06,2016-03-01,HPI - Apartment,418300
Toronto C07,2016-03-01,HPI - Single-Family Detached,1111500
Toronto C07,2016-03-01,HPI - Single-Family Attached,683900
Toronto C07,2016-03-01,HPI - Townhouse,480300
Toronto C07,2016-03-01,HPI - Apartment,370400
Toronto C08,2016-03-01,HPI - Single-Family Detached,495400
Toronto C08,2016-03-01,HPI - Single-Family Attached,809400
Toronto C08,2016-03-01,HPI - Townhouse,573500
Toronto C08,2016-03-01,HPI - Apartment,411000
Toronto C09,2016-03-01,HPI - Single-Family Detached,1708400
Toronto C09,2016-03-01,HPI - Single-Family Attached,1223000
Toronto C09,2016-03-01,HPI - Townhouse,867700
Toronto C09,2016-03-01,HPI - Apartment,499900
Toronto C10,2016-03-01,HPI - Single-Family Detached,1314500
Toronto C10,2016-03-01,HPI - Single-Family Attached,1042100
Toronto C10,2016-03-01,HPI - Townhouse,563600
Toronto C10,2016-03-01,HPI - Apartment,485400
Toronto C11,2016-03-01,HPI - Single-Family Detached,1288200
Toronto C11,2016-03-01,HPI - Single-Family Attached,964400
Toronto C11,2016-03-01,HPI - Townhouse,196800
Toronto C11,2016-03-01,HPI - Apartment,277600
Toronto C12,2016-03-01,HPI - Single-Family Detached,1873200
Toronto C12,2016-03-01,HPI - Single-Family Attached,899600
Toronto C12,2016-03-01,HPI - Townhouse,718000
Toronto C12,2016-03-01,HPI - Apartment,593500
Toronto C13,2016-03-01,HPI - Single-Family Detached,1141800
Toronto C13,2016-03-01,HPI - Single-Family Attached,641300
Toronto C13,2016-03-01,HPI - Townhouse,539700
Toronto C13,2016-03-01,HPI - Apartment,329700
Toronto C14,2016-03-01,HPI - Single-Family Detached,1335600
Toronto C14,2016-03-01,HPI - Single-Family Attached,1046800
Toronto C14,2016-03-01,HPI - Townhouse,777500
Toronto C14,2016-03-01,HPI - Apartment,436400
Toronto C15,2016-03-01,HPI - Single-Family Detached,1157900
Toronto C15,2016-03-01,HPI - Single-Family Attached,720600
Toronto C15,2016-03-01,HPI - Townhouse,508600
Toronto C15,2016-03-01,HPI - Apartment,359700
Toronto E01,2016-03-01,HPI - Single-Family Detached,794800
Toronto E01,2016-03-01,HPI - Single-Family Attached,764600
Toronto E01,2016-03-01,HPI - Townhouse,443200
Toronto E01,2016-03-01,HPI - Apartment,499100
Toronto E02,2016-03-01,HPI - Single-Family Detached,851700
Toronto E02,2016-03-01,HPI - Single-Family Attached,756900
Toronto E02,2016-03-01,HPI - Townhouse,694000
Toronto E02,2016-03-01,HPI - Apartment,581200
Toronto E03,2016-03-01,HPI - Single-Family Detached,745600
Toronto E03,2016-03-01,HPI - Single-Family Attached,680200
Toronto E03,2016-03-01,HPI - Townhouse,
Toronto E03,2016-03-01,HPI - Apartment,241500
Toronto E04,2016-03-01,HPI - Single-Family Detached,599800
Toronto E04,2016-03-01,HPI - Single-Family Attached,480600
Toronto E04,2016-03-01,HPI - Townhouse,417100
Toronto E04,2016-03-01,HPI - Apartment,279500
Toronto E05,2016-03-01,HPI - Single-Family Detached,780400
Toronto E05,2016-03-01,HPI - Single-Family Attached,588800
Toronto E05,2016-03-01,HPI - Townhouse,452200
Toronto E05,2016-03-01,HPI - Apartment,317500
Toronto E06,2016-03-01,HPI - Single-Family Detached,605300
Toronto E06,2016-03-01,HPI - Single-Family Attached,507400
Toronto E06,2016-03-01,HPI - Townhouse,501300
Toronto E06,2016-03-01,HPI - Apartment,431700
Toronto E07,2016-03-01,HPI - Single-Family Detached,780000
Toronto E07,2016-03-01,HPI - Single-Family Attached,591000
Toronto E07,2016-03-01,HPI - Townhouse,475200
Toronto E07,2016-03-01,HPI - Apartment,299100
Toronto E08,2016-03-01,HPI - Single-Family Detached,638400
Toronto E08,2016-03-01,HPI - Single-Family Attached,475300
Toronto E08,2016-03-01,HPI - Townhouse,384900
Toronto E08,2016-03-01,HPI - Apartment,253400
Toronto E09,2016-03-01,HPI - Single-Family Detached,593700
Toronto E09,2016-03-01,HPI - Single-Family Attached,467500
Toronto E09,2016-03-01,HPI - Townhouse,352600
Toronto E09,2016-03-01,HPI - Apartment,301300
Toronto E10,2016-03-01,HPI - Single-Family Detached,662900
Toronto E10,2016-03-01,HPI - Single-Family Attached,519700
Toronto E10,2016-03-01,HPI - Townhouse,369600
Toronto E10,2016-03-01,HPI - Apartment,231500
Toronto E11,2016-03-01,HPI - Single-Family Detached,590400
Toronto E11,2016-03-01,HPI - Single-Family Attached,466800
Toronto E11,2016-03-01,HPI - Townhouse,302600
Toronto E11,2016-03-01,HPI - Apartment,250800
City of Toronto,2016-04-01,HPI - Single-Family Detached,924000
City of Toronto,2016-04-01,HPI - Single-Family Attached,718400
City of Toronto,2016-04-01,HPI - Townhouse,474000
City of Toronto,2016-04-01,HPI - Apartment,358900
Toronto W01,2016-04-01,HPI - Single-Family Detached,994200
Toronto W01,2016-04-01,HPI - Single-Family Attached,814000
Toronto W01,2016-04-01,HPI - Townhouse,404000
Toronto W01,2016-04-01,HPI - Apartment,354200
Toronto W02,2016-04-01,HPI - Single-Family Detached,916600
Toronto W02,2016-04-01,HPI - Single-Family Attached,782600
Toronto W02,2016-04-01,HPI - Townhouse,475000
Toronto W02,2016-04-01,HPI - Apartment,610000
Toronto W03,2016-04-01,HPI - Single-Family Detached,604700
Toronto W03,2016-04-01,HPI - Single-Family Attached,566200
Toronto W03,2016-04-01,HPI - Townhouse,326300
Toronto W03,2016-04-01,HPI - Apartment,293700
Toronto W04,2016-04-01,HPI - Single-Family Detached,626500
Toronto W04,2016-04-01,HPI - Single-Family Attached,567400
Toronto W04,2016-04-01,HPI - Townhouse,445200
Toronto W04,2016-04-01,HPI - Apartment,232300
Toronto W05,2016-04-01,HPI - Single-Family Detached,654100
Toronto W05,2016-04-01,HPI - Single-Family Attached,531700
Toronto W05,2016-04-01,HPI - Townhouse,291500
Toronto W05,2016-04-01,HPI - Apartment,197100
Toronto W06,2016-04-01,HPI - Single-Family Detached,684900
Toronto W06,2016-04-01,HPI - Single-Family Attached,557600
Toronto W06,2016-04-01,HPI - Townhouse,578000
Toronto W06,2016-04-01,HPI - Apartment,316200
Toronto W07,2016-04-01,HPI - Single-Family Detached,859200
Toronto W07,2016-04-01,HPI - Single-Family Attached,772400
Toronto W07,2016-04-01,HPI - Townhouse,520500
Toronto W07,2016-04-01,HPI - Apartment,455400
Toronto W08,2016-04-01,HPI - Single-Family Detached,951500
Toronto W08,2016-04-01,HPI - Single-Family Attached,704500
Toronto W08,2016-04-01,HPI - Townhouse,409000
Toronto W08,2016-04-01,HPI - Apartment,302800
Toronto W09,2016-04-01,HPI - Single-Family Detached,733600
Toronto W09,2016-04-01,HPI - Single-Family Attached,496400
Toronto W09,2016-04-01,HPI - Townhouse,487300
Toronto W09,2016-04-01,HPI - Apartment,201000
Toronto W10,2016-04-01,HPI - Single-Family Detached,582700
Toronto W10,2016-04-01,HPI - Single-Family Attached,512100
Toronto W10,2016-04-01,HPI - Townhouse,296600
Toronto W10,2016-04-01,HPI - Apartment,219600
Toronto C01,2016-04-01,HPI - Single-Family Detached,726100
Toronto C01,2016-04-01,HPI - Single-Family Attached,789700
Toronto C01,2016-04-01,HPI - Townhouse,575200
Toronto C01,2016-04-01,HPI - Apartment,410800
Toronto C02,2016-04-01,HPI - Single-Family Detached,1540800
Toronto C02,2016-04-01,HPI - Single-Family Attached,1192900
Toronto C02,2016-04-01,HPI - Townhouse,980100
Toronto C02,2016-04-01,HPI - Apartment,514300
Toronto C03,2016-04-01,HPI - Single-Family Detached,1287400
Toronto C03,2016-04-01,HPI - Single-Family Attached,847800
Toronto C03,2016-04-01,HPI - Townhouse,
Toronto C03,2016-04-01,HPI - Apartment,597900
Toronto C04,2016-04-01,HPI - Single-Family Detached,1451800
Toronto C04,2016-04-01,HPI - Single-Family Attached,995400
Toronto C04,2016-04-01,HPI - Townhouse,629100
Toronto C04,2016-04-01,HPI - Apartment,364200
Toronto C06,2016-04-01,HPI - Single-Family Detached,972000
Toronto C06,2016-04-01,HPI - Single-Family Attached,744400
Toronto C06,2016-04-01,HPI - Townhouse,
Toronto C06,2016-04-01,HPI - Apartment,433100
