Toronto Police Neighbourhood Categories,MLS Neighbourhood Categories,MLS Municipality Code
Tam O'Shanter-Sullivan (118),Tam O'Shanter-Sullivan,Toronto E05
Taylor-Massey (61),Taylor-Massey,Toronto E03
The Beaches (63),The Beaches,Toronto E02
Thistletown-Beaumond Heights (3),Thistletown-Beaumond Heights,Toronto W10
Thorncliffe Park (55),Thorncliffe Park,Toronto C11
Trinity-Bellwoods (81),Trinity-Bellwoods,Toronto C01
University (79),University,Toronto C01
Victoria Village (43),Victoria Village,Toronto C13
Waterfront Communities-The Island (77),Waterfront Communities-The Island,Toronto C01
West Hill (136),West Hill,Toronto E10
West Humber-Clairville (1),West Humber-Clairville,Toronto W10
Westminster-Branson (35),Westminster-Branson,Toronto C07
Weston (113),Weston,Toronto W04
Weston-Pelham Park (91),Weston-Pelham Park,Toronto W03
Wexford/Maryvale (119),Wexford/Maryvale,Toronto E04
Willowdale East (51),Willowdale East,Toronto C14
Willowdale West (37),Willowdale West,Toronto C07
Willowridge-Martingrove-Richview (7),Willowridge-Martingrove-Richview,Toronto W09
Woburn (137),Woburn,Toronto E09
Woodbine Corridor (64),Woodbine Corridor,Toronto E02
Woodbine-Lumsden (60),Woodbine-Lumsden,Toronto E03
Wychwood (94),Wychwood,Toronto C02
Yonge-Eglinton (100),Yonge-Eglinton,Toronto C03
Yonge-St.Clair (97),Yonge-St.Clair,Toronto C02
York University Heights (27),York University Heights,Toronto W05
Yorkdale-Glen Park (31),Yorkdale-Glen Park,Toronto W04
